expiry,strike_price,option_type,instrument_key,underlying_spot_price,pcr,ltp,volume,oi,close_price,bid_price,bid_qty,ask_price,ask_qty,prev_oi,vega,theta,gamma,delta,iv,pop
2026-06-16,23900.0,PE,NSE_FO|50612,23989.15,3.4563,0.05,2213559400,19917690.0,99.4,0.0,0,0.05,3855930,4905420.0,0.0,-0.0111,0.0,0.0,500.0,0.0
2026-06-16,23950.0,CE,NSE_FO|50613,23989.15,3.7064,39.05,2013008595,8326630.0,54.5,39.05,64545,39.15,18720,7409610.0,0.0,0.0,0.0,1.0,0.0,99.0
2026-06-16,23950.0,PE,NSE_FO|50614,23989.15,3.7064,0.05,2254798845,30861935.0,130.8,0.0,0,0.05,8828495,2187445.0,0.0003,-10097.5562,0.0005,-0.0026,500.0,0.26
2026-06-16,24000.0,CE,NSE_FO|50615,23989.15,0.4677,0.05,3268862545,40040260.0,39.7,0.0,0,0.05,5268965,18472935.0,0.0003,-1225.6875,0.004,0.0026,62.5,0.24
2026-06-16,24000.0,PE,NSE_FO|50616,23989.15,0.4677,10.8,1533201085,18728320.0,165.0,10.8,28535,10.85,170690,4255550.0,0.0122,-577041.638,0.0197,-0.6128,609.38,39.33
2026-06-16,24050.0,CE,NSE_FO|50617,23989.15,0.2053,0.1,1375878075,11163880.0,28.55,0.05,2080,0.1,216320,5759195.0,0.0009,-50085.7032,0.0011,0.0102,750.0,1.0
2026-06-16,24050.0,PE,NSE_FO|50618,23989.15,0.2053,60.65,270496525,2291445.0,203.65,60.65,130,60.85,2600,398125.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24100.0,CE,NSE_FO|50619,23989.15,0.1273,0.05,833529515,9771905.0,20.8,0.0,0,0.05,549120,7648875.0,0.0,-0.0002,0.0,0.0,500.0,0.0
2026-06-16,24100.0,PE,NSE_FO|50620,23989.15,0.1273,110.5,129311910,1243970.0,243.9,110.5,11375,110.8,1560,488930.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24150.0,CE,NSE_FO|50621,23989.15,0.0308,0.05,485346485,7260695.0,15.2,0.0,0,0.05,457470,4242030.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24150.0,PE,NSE_FO|50624,23989.15,0.0308,160.45,23762180,223730.0,288.4,160.45,195,160.85,1755,84500.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24200.0,CE,NSE_FO|50637,23989.15,0.0395,0.05,433103645,8909485.0,11.35,0.0,0,0.05,383955,8758490.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24200.0,PE,NSE_FO|50638,23989.15,0.0395,210.45,24223225,351715.0,338.05,210.5,130,210.7,195,187915.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24250.0,CE,NSE_FO|50639,23989.15,0.0145,0.05,151455980,4852575.0,8.45,0.0,0,0.05,506805,3467555.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24250.0,PE,NSE_FO|50640,23989.15,0.0145,260.15,2747030,70330.0,382.25,260.1,130,260.75,1170,43355.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24300.0,CE,NSE_FO|50641,23989.15,0.0186,0.05,159351400,7558070.0,6.55,0.0,0,0.05,19240,7418125.0,0.0,-0.0057,0.0,0.0,500.0,0.0
2026-06-16,24300.0,PE,NSE_FO|50642,23989.15,0.0186,310.0,4075565,140725.0,436.0,309.95,1300,310.5,975,108160.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24350.0,CE,NSE_FO|50643,23989.15,0.0106,0.05,69789005,3672565.0,5.35,0.0,0,0.05,77090,3345225.0,0.0,-0.4987,0.0,0.0,500.0,0.0
2026-06-16,24350.0,PE,NSE_FO|50644,23989.15,0.0106,359.95,447915,39065.0,482.85,359.9,260,360.65,845,16770.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24400.0,CE,NSE_FO|50645,23989.15,0.0089,0.05,113711845,5890820.0,4.4,0.0,0,0.05,621790,5786690.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24400.0,PE,NSE_FO|50646,23989.15,0.0089,410.0,639340,52325.0,530.35,409.95,260,410.55,260,36855.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24450.0,CE,NSE_FO|50647,23989.15,0.0066,0.05,83524285,3377790.0,3.85,0.0,0,0.05,375375,2997865.0,0.0,-0.0002,0.0,0.0,500.0,0.0
2026-06-16,24450.0,PE,NSE_FO|50648,23989.15,0.0066,461.8,107510,22295.0,574.25,459.9,130,461.6,65,14690.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24500.0,CE,NSE_FO|50649,23989.15,0.0039,0.05,122645445,10906090.0,3.25,0.0,0,0.05,418925,10626200.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24500.0,PE,NSE_FO|50650,23989.15,0.0039,508.15,752050,42250.0,627.95,509.55,1300,511.1,650,144495.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24550.0,CE,NSE_FO|50651,23989.15,0.0073,0.05,34844355,1684800.0,2.8,0.0,0,0.05,239135,2126475.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24550.0,PE,NSE_FO|50652,23989.15,0.0073,562.15,48165,12220.0,675.95,560.2,780,562.35,65,3055.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24600.0,CE,NSE_FO|50655,23989.15,0.0023,0.05,58410690,5469425.0,2.55,0.0,0,0.05,1728220,6563180.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24600.0,PE,NSE_FO|50656,23989.15,0.0023,609.3,67600,12610.0,723.1,609.35,910,611.0,520,10855.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24650.0,CE,NSE_FO|50657,23989.15,0.0024,0.05,40595230,2437305.0,2.25,0.0,0,0.05,630825,2456415.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24650.0,PE,NSE_FO|50658,23989.15,0.0024,661.75,26650,5850.0,768.1,659.3,130,662.4,65,1755.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24700.0,CE,NSE_FO|50659,23989.15,0.0014,0.05,59767695,4915755.0,2.05,0.0,0,0.05,177515,5535010.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24700.0,PE,NSE_FO|50662,23989.15,0.0014,709.3,20800,6890.0,828.3,709.25,130,711.2,130,3770.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24750.0,CE,NSE_FO|50667,23989.15,0.0028,0.05,19175715,1442675.0,1.95,0.0,0,0.05,261820,1496950.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24750.0,PE,NSE_FO|50668,23989.15,0.0028,761.6,11505,4095.0,886.5,759.3,130,761.8,260,910.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24800.0,CE,NSE_FO|50669,23989.15,0.0022,0.05,49793835,5681715.0,1.8,0.0,0,0.05,764205,5423080.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24800.0,PE,NSE_FO|50670,23989.15,0.0022,811.3,26325,12545.0,920.75,808.95,1300,811.2,130,13845.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24850.0,CE,NSE_FO|50674,23989.15,0.001,0.05,10405265,1122550.0,1.7,0.0,0,0.05,121940,1261715.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24850.0,PE,NSE_FO|50675,23989.15,0.001,860.9,6565,1105.0,975.9,858.8,130,862.85,65,195.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24900.0,CE,NSE_FO|50679,23989.15,0.0004,0.05,39165815,4461600.0,1.55,0.0,0,0.05,134095,3106740.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24900.0,PE,NSE_FO|50680,23989.15,0.0004,909.45,16640,1950.0,1016.4,909.15,130,912.35,65,8775.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,24950.0,CE,NSE_FO|50681,23989.15,0.0007,0.05,12599860,1462435.0,1.5,0.0,0,0.05,369135,774670.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,24950.0,PE,NSE_FO|50682,23989.15,0.0007,961.05,4810,975.0,1038.0,958.05,195,963.1,65,260.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25000.0,CE,NSE_FO|50684,23989.15,0.0027,0.05,71051630,7910955.0,1.3,0.0,0,0.05,483665,10457005.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25000.0,PE,NSE_FO|50685,23989.15,0.0027,1012.5,146510,21060.0,1128.3,1010.75,325,1012.5,390,120120.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25050.0,CE,NSE_FO|50690,23989.15,0.0022,0.05,6556030,871845.0,1.25,0.0,0,0.05,208715,1142180.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25050.0,PE,NSE_FO|50691,23989.15,0.0022,1170.0,0,1950.0,1170.0,1055.6,17550,1098.25,780,1755.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25100.0,CE,NSE_FO|50693,23989.15,0.0003,0.05,11703900,1699165.0,1.15,0.0,0,0.05,306410,1950910.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25100.0,PE,NSE_FO|50694,23989.15,0.0003,1112.0,650,520.0,1187.0,1108.45,65,1113.35,650,650.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25150.0,CE,NSE_FO|50695,23989.15,0.0011,0.05,3971890,350415.0,1.1,0.0,0,0.05,71695,565175.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25150.0,PE,NSE_FO|50696,23989.15,0.0011,1165.6,910,390.0,1310.0,1157.2,130,1163.95,65,130.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25200.0,CE,NSE_FO|50700,23989.15,0.0012,0.05,11290045,2111070.0,1.05,0.0,0,0.05,126295,3566160.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25200.0,PE,NSE_FO|50703,23989.15,0.0012,1211.45,5655,2470.0,1335.85,1208.0,130,1214.25,65,5005.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25250.0,CE,NSE_FO|50704,23989.15,0.0002,0.05,4011605,350025.0,0.95,0.0,0,0.05,12155,744640.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25250.0,PE,NSE_FO|50705,23989.15,0.0002,1729.8,0,65.0,1735.3,1254.35,130,1297.25,780,65.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25300.0,CE,NSE_FO|50706,23989.15,0.0004,0.05,5387720,792285.0,0.9,0.0,0,0.05,2665,1606215.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25300.0,PE,NSE_FO|50707,23989.15,0.0004,1314.25,520,325.0,1378.3,1307.75,390,1314.25,65,520.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25350.0,CE,NSE_FO|50708,23989.15,0.0021,0.05,2101255,272675.0,0.9,0.0,0,0.05,13585,450450.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25350.0,PE,NSE_FO|50710,23989.15,0.0021,1457.0,0,585.0,1457.0,1355.05,130,1398.8,780,65.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-06-16,25400.0,CE,NSE_FO|50711,23989.15,0.0051,0.05,4511000,540345.0,0.9,0.0,0,0.05,20215,966745.0,0.0,0.0,0.0,0.0,500.0,0.0
2026-06-16,25400.0,PE,NSE_FO|50712,23989.15,0.0051,1423.9,2145,2730.0,1490.0,1406.6,260,1414.85,260,3380.0,0.0,0.0,0.0,-1.0,0.0,0.0
