=== CUT-OFF CSV FILES (data ends before expiry day) ===
Total: 4,740
These CSVs have data, but the last bar is days before the actual expiry date.
The vendor needs to provide additional rows from <last_data_date> to <expiry>.

Format: SYMBOL  STRIKE  OPT  EXPIRY  LAST_DATA  DAYS_MISSING  ROWS  FILEPATH
NIFTY    7100  CE   2014-04-24    2014-04-17      7d    6761  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-04-24/NIFTY_7100_CE_24_APR_14.csv
NIFTY    6200  PE   2014-05-29    2014-05-16     13d   11976  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-05-29/NIFTY_6200_PE_29_MAY_14.csv
NIFTY    6300  PE   2014-05-29    2014-05-16     13d   12674  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-05-29/NIFTY_6300_PE_29_MAY_14.csv
NIFTY    6400  PE   2014-05-29    2014-05-22      7d   13826  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-05-29/NIFTY_6400_PE_29_MAY_14.csv
NIFTY    6500  PE   2014-05-29    2014-05-22      7d   15342  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-05-29/NIFTY_6500_PE_29_MAY_14.csv
NIFTY    6600  PE   2014-05-29    2014-05-22      7d   13181  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-05-29/NIFTY_6600_PE_29_MAY_14.csv
NIFTY    6700  PE   2014-05-29    2014-05-22      7d   13130  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-05-29/NIFTY_6700_PE_29_MAY_14.csv
NIFTY    6800  PE   2014-06-26    2014-05-29     28d    6349  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-06-26/NIFTY_6800_PE_26_JUN_14.csv
NIFTY    6900  PE   2014-06-26    2014-05-29     28d    5004  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-06-26/NIFTY_6900_PE_26_JUN_14.csv
NIFTY    7000  PE   2014-06-26    2014-06-17      9d   11239  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-06-26/NIFTY_7000_PE_26_JUN_14.csv
