timestamp,expiry,expiry_day,current_day,open,high,low,close,volume,ltp,option_type,strike,buy_price,target_price,exit_time,sell_price,target_hit,pnl,pnl_pct
2026-01-14 09:15:00+05:30,2026-01-20,Tuesday,Wednesday,25648.55,25693.0,25638.35,25671.9,0,25662.949999999997,CE,25800,86.0,332.6,2026-01-20 15:29:00+05:30,0.1,False,-85.9,-99.88372093023257
2026-01-14 09:15:00+05:30,2026-01-20,Tuesday,Wednesday,25648.55,25693.0,25638.35,25671.9,0,25662.949999999997,PE,25550,80.3,332.6,2026-01-20 15:29:00+05:30,317.5,False,237.2,295.39227895392276
2026-01-14 09:16:00+05:30,2026-01-20,Tuesday,Wednesday,25673.0,25718.0,25673.0,25707.75,0,25692.9375,CE,25800,102.9,349.8,2026-01-20 15:29:00+05:30,0.1,False,-102.80000000000001,-99.90281827016521
2026-01-14 09:16:00+05:30,2026-01-20,Tuesday,Wednesday,25673.0,25718.0,25673.0,25707.75,0,25692.9375,PE,25550,72.0,349.8,2026-01-20 15:29:00+05:30,317.5,False,245.5,340.97222222222223
2026-01-14 09:17:00+05:30,2026-01-20,Tuesday,Wednesday,25707.35,25719.35,25705.9,25714.5,0,25711.775,CE,25850,89.0,352.2,2026-01-20 15:29:00+05:30,0.05,False,-88.95,-99.9438202247191
2026-01-14 09:17:00+05:30,2026-01-20,Tuesday,Wednesday,25707.35,25719.35,25705.9,25714.5,0,25711.775,PE,25600,87.1,352.2,2026-01-20 15:11:00+05:30,364.6,True,277.5,318.5993111366246
2026-01-14 09:18:00+05:30,2026-01-20,Tuesday,Wednesday,25716.3,25717.95,25694.6,25696.3,0,25706.287500000002,CE,25850,77.65,344.1,2026-01-20 15:29:00+05:30,0.05,False,-77.60000000000001,-99.93560849967804
2026-01-14 09:18:00+05:30,2026-01-20,Tuesday,Wednesday,25716.3,25717.95,25694.6,25696.3,0,25706.287500000002,PE,25600,94.4,344.1,2026-01-20 15:10:00+05:30,346.45,True,252.04999999999998,267.00211864406776
2026-01-14 09:19:00+05:30,2026-01-20,Tuesday,Wednesday,25695.75,25703.3,25682.9,25683.25,0,25691.300000000003,CE,25800,93.95,349.08000000000004,2026-01-20 15:29:00+05:30,0.1,False,-93.85000000000001,-99.89356040447048
2026-01-14 09:19:00+05:30,2026-01-20,Tuesday,Wednesday,25695.75,25703.3,25682.9,25683.25,0,25691.300000000003,PE,25550,80.59,349.08000000000004,2026-01-20 15:29:00+05:30,317.5,False,236.91,293.96947512098274
