timestamp,expiry,expiry_day,current_day,open,high,low,close,volume,ltp,option_type,strike,buy_price,target_price,exit_time,sell_price,target_hit,pnl,pnl_pct
2026-01-14 10:41:00+05:30,2026-01-20,Tuesday,Wednesday,25691.25,25710.05,25691.25,25708.55,0,25700.275,CE,25850,78.3,156.6,2026-01-20 15:29:00+05:30,0.05,False,-78.25,-99.93614303959131
2026-01-14 10:41:00+05:30,2026-01-20,Tuesday,Wednesday,25691.25,25710.05,25691.25,25708.55,0,25700.275,PE,25550,61.85,123.7,2026-01-20 09:54:00+05:30,133.25,True,71.4,115.4405820533549
2026-01-14 10:52:00+05:30,2026-01-20,Tuesday,Wednesday,25698.35,25702.4,25694.8,25695.2,0,25697.6875,CE,25850,71.25,142.5,2026-01-16 10:28:00+05:30,143.65,True,72.4,101.61403508771932
2026-01-14 10:52:00+05:30,2026-01-20,Tuesday,Wednesday,25698.35,25702.4,25694.8,25695.2,0,25697.6875,PE,25550,67.05,134.1,2026-01-20 12:41:00+05:30,139.3,True,72.25000000000001,107.75540641312456
2026-01-14 10:53:00+05:30,2026-01-20,Tuesday,Wednesday,25695.05,25704.65,25695.05,25702.95,0,25699.425,CE,25850,73.25,146.5,2026-01-20 15:29:00+05:30,0.05,False,-73.2,-99.93174061433447
2026-01-14 10:53:00+05:30,2026-01-20,Tuesday,Wednesday,25695.05,25704.65,25695.05,25702.95,0,25699.425,PE,25550,64.9,129.8,2026-01-20 09:54:00+05:30,133.25,True,68.35,105.31587057010785
2026-01-14 10:54:00+05:30,2026-01-20,Tuesday,Wednesday,25702.75,25705.35,25698.85,25703.65,0,25702.65,CE,25850,74.25,148.5,2026-01-20 15:29:00+05:30,0.05,False,-74.2,-99.93265993265994
2026-01-14 10:54:00+05:30,2026-01-20,Tuesday,Wednesday,25702.75,25705.35,25698.85,25703.65,0,25702.65,PE,25550,64.5,129.0,2026-01-20 09:54:00+05:30,133.25,True,68.75,106.5891472868217
2026-01-14 11:18:00+05:30,2026-01-20,Tuesday,Wednesday,25745.9,25751.1,25743.8,25745.35,0,25746.5375,CE,25900,71.5,143.0,2026-01-20 15:29:00+05:30,0.05,False,-71.45,-99.93006993006993
2026-01-14 11:18:00+05:30,2026-01-20,Tuesday,Wednesday,25745.9,25751.1,25743.8,25745.35,0,25746.5375,PE,25600,67.45,134.9,2026-01-19 10:05:00+05:30,135.5,True,68.05,100.88954781319495
2026-01-14 11:20:00+05:30,2026-01-20,Tuesday,Wednesday,25747.75,25753.9,25743.15,25743.15,0,25746.987500000003,CE,25900,70.2,140.4,2026-01-20 15:29:00+05:30,0.05,False,-70.15,-99.92877492877493
2026-01-14 11:20:00+05:30,2026-01-20,Tuesday,Wednesday,25747.75,25753.9,25743.15,25743.15,0,25746.987500000003,PE,25600,68.84,137.68,2026-01-19 10:07:00+05:30,139.8,True,70.96000000000001,103.07960488088321
2026-01-14 11:21:00+05:30,2026-01-20,Tuesday,Wednesday,25743.3,25754.8,25741.85,25754.8,0,25748.6875,CE,25900,75.3,150.6,2026-01-20 15:29:00+05:30,0.05,False,-75.25,-99.933598937583
2026-01-14 11:21:00+05:30,2026-01-20,Tuesday,Wednesday,25743.3,25754.8,25741.85,25754.8,0,25748.6875,PE,25600,65.5,131.0,2026-01-19 10:00:00+05:30,131.0,True,65.5,100.0
2026-01-14 11:22:00+05:30,2026-01-20,Tuesday,Wednesday,25754.95,25754.95,25746.25,25746.85,0,25750.75,CE,25900,72.9,145.8,2026-01-20 15:29:00+05:30,0.05,False,-72.85000000000001,-99.93141289437585
2026-01-14 11:22:00+05:30,2026-01-20,Tuesday,Wednesday,25754.95,25754.95,25746.25,25746.85,0,25750.75,PE,25600,67.2,134.4,2026-01-19 10:05:00+05:30,135.5,True,68.3,101.63690476190474
2026-01-14 11:23:00+05:30,2026-01-20,Tuesday,Wednesday,25747.6,25751.5,25744.75,25744.9,0,25747.1875,CE,25900,72.2,144.4,2026-01-20 15:29:00+05:30,0.05,False,-72.15,-99.93074792243767
2026-01-14 11:23:00+05:30,2026-01-20,Tuesday,Wednesday,25747.6,25751.5,25744.75,25744.9,0,25747.1875,PE,25600,68.15,136.3,2026-01-19 10:07:00+05:30,139.8,True,71.65,105.13573000733676
