strike_distance_pct,max_total_premium_pct,target_multiplier,window_start,window_finish,expiry_limit,limit_one_trade,results_folder,total_trades,total_profitable,profit_rate,total_pnl,avg_pnl_pct,win_rate,target_hit_rate
0.0025,0.005,1.5,09:30,10:00,10000,0,RV_IV_Analysis_20260303_024641,11,11,100.0,735.3299999999999,63.74688846659146,50.0,50.0
0.0025,0.005,1.5,10:00,10:30,10000,0,RV_IV_Analysis_20260303_024801,27,27,100.0,1831.4599999999998,74.75114962696314,50.0,50.0
0.0025,0.005,1.5,10:30,11:00,10000,0,RV_IV_Analysis_20260303_024930,23,23,100.0,1516.4799999999998,68.70762993908842,50.0,50.0
0.0025,0.005,1.5,11:00,11:30,10000,0,RV_IV_Analysis_20260303_025236,13,13,100.0,832.87,64.45809539764261,50.0,50.0
0.0025,0.005,1.5,11:30,12:00,10000,0,RV_IV_Analysis_20260303_025405,36,23,63.888888888888886,120.99999999999994,19.497284021442656,31.944444444444443,31.944444444444443
0.0025,0.005,1.5,12:00,12:30,10000,0,RV_IV_Analysis_20260303_025536,14,6,42.857142857142854,-490.5900000000001,-6.503788588529582,21.428571428571427,21.428571428571427
0.0025,0.005,1.5,12:30,13:00,10000,0,RV_IV_Analysis_20260303_025706,19,2,10.526315789473683,-1824.7500000000002,-76.31311054944958,5.263157894736842,5.263157894736842
0.0025,0.005,1.5,13:00,13:30,10000,0,RV_IV_Analysis_20260303_025834,42,36,85.71428571428571,1488.7800000000002,52.51553589751242,42.857142857142854,42.857142857142854
0.0025,0.005,1.5,13:30,14:00,10000,0,RV_IV_Analysis_20260303_030001,23,23,100.0,1333.3,54.22720398729242,50.0,50.0
0.0025,0.005,1.5,14:00,14:30,10000,0,RV_IV_Analysis_20260303_030135,28,28,100.0,1716.3199999999997,49.41602135360419,50.0,50.0
0.0025,0.005,1.5,14:30,15:00,10000,0,RV_IV_Analysis_20260303_030303,60,59,98.33333333333333,3698.05,70.03082740026497,50.0,49.166666666666664
0.0025,0.005,1.5,15:00,15:30,10000,0,RV_IV_Analysis_20260303_030432,53,53,100.0,3517.9899999999993,79.44406113604565,50.0,50.0
0.0025,0.005,2,09:30,10:00,10000,0,RV_IV_Analysis_20260303_030558,11,11,100.0,1468.7800000000004,119.27435093945205,50.0,50.0
0.0025,0.005,2,10:00,10:30,10000,0,RV_IV_Analysis_20260303_030726,27,27,100.0,3538.710000000001,131.1927692284104,50.0,50.0
0.0025,0.005,2,10:30,11:00,10000,0,RV_IV_Analysis_20260303_030854,23,23,100.0,2935.38,123.35288711891941,50.0,50.0
0.0025,0.005,2,11:00,11:30,10000,0,RV_IV_Analysis_20260303_031022,13,13,100.0,1659.37,121.1398219410774,50.0,50.0
0.0025,0.005,2,11:30,12:00,10000,0,RV_IV_Analysis_20260303_031148,36,9,25.0,40.299999999999784,16.931330901257184,30.555555555555557,12.5
0.0025,0.005,2,12:00,12:30,10000,0,RV_IV_Analysis_20260303_031316,14,0,0.0,-720.9900000000001,-24.5058241637868,21.428571428571427,0.0
0.0025,0.005,2,12:30,13:00,10000,0,RV_IV_Analysis_20260303_031443,19,0,0.0,-1901.5500000000002,-80.86103850888304,5.263157894736842,0.0
0.0025,0.005,2,13:00,13:30,10000,0,RV_IV_Analysis_20260303_031611,42,0,0.0,49.02999999999994,21.653986512999463,35.714285714285715,0.0
0.0025,0.005,2,13:30,14:00,10000,0,RV_IV_Analysis_20260303_031739,23,5,21.73913043478261,51.40000000000005,10.275568903692132,30.434782608695656,10.869565217391305
0.0025,0.005,2,14:00,14:30,10000,0,RV_IV_Analysis_20260303_031909,28,1,3.571428571428571,-1325.63,-36.76200084387556,19.642857142857142,1.7857142857142856
0.0025,0.005,2,14:30,15:00,10000,0,RV_IV_Analysis_20260303_032041,60,18,30.0,1554.61,36.43895629961901,40.0,15.0
0.0025,0.005,2,15:00,15:30,10000,0,RV_IV_Analysis_20260303_032208,53,24,45.28301886792453,3376.5599999999995,71.23151245032399,49.056603773584904,22.641509433962266
0.0025,0.005,2.5,09:30,10:00,10000,0,RV_IV_Analysis_20260303_032336,11,0,0.0,888.83,75.37506445742456,50.0,0.0
0.0025,0.005,2.5,10:00,10:30,10000,0,RV_IV_Analysis_20260303_032512,27,0,0.0,2232.66,88.01930656756916,50.0,0.0
0.0025,0.005,2.5,10:30,11:00,10000,0,RV_IV_Analysis_20260303_032638,23,0,0.0,1976.9799999999993,86.38758586081335,50.0,0.0
0.0025,0.005,2.5,11:00,11:30,10000,0,RV_IV_Analysis_20260303_032802,13,0,0.0,1169.9199999999998,87.60728392705748,50.0,0.0
