exit_time,pnl,month_pnl
2025-04,31067.4,31067.4
2025-07,-28665.0,-28665.0
2025-08,13230.75,13230.75
2025-09,2580.499999999998,2580.499999999998
2025-10,18609.5,18609.5
2025-11,-21222.5,-21222.5
2025-12,-27797.25,-27797.25
2026-01,18957.25,18957.25
2026-02,14885.0,14885.0
2026-03,27777.75,27777.75
