timestamp,expiry,expiry_day,current_day,open,high,low,close,volume,ltp,pe_strike,ce_strike,pe_cost,ce_cost,total_cost,cost_pct
2026-01-14 09:15:00+05:30,2026-01-20,Tuesday,Wednesday,25648.55,25693.0,25638.35,25671.9,0,25662.949999999997,25550,25800,80.3,86.0,166.3,0.6480159139927406
2026-01-14 09:16:00+05:30,2026-01-20,Tuesday,Wednesday,25673.0,25718.0,25673.0,25707.75,0,25692.9375,25550,25800,72.0,102.9,174.9,0.6807318158929863
2026-01-14 09:17:00+05:30,2026-01-20,Tuesday,Wednesday,25707.35,25719.35,25705.9,25714.5,0,25711.775,25600,25850,87.1,89.0,176.1,0.6849002062284693
2026-01-14 09:18:00+05:30,2026-01-20,Tuesday,Wednesday,25716.3,25717.95,25694.6,25696.3,0,25706.287500000002,25600,25850,94.4,77.65,172.05,0.6692915108803634
2026-01-14 09:19:00+05:30,2026-01-20,Tuesday,Wednesday,25695.75,25703.3,25682.9,25683.25,0,25691.300000000003,25550,25800,80.59,93.95,174.54000000000002,0.6793739514933071
2026-01-14 09:20:00+05:30,2026-01-20,Tuesday,Wednesday,25684.2,25705.8,25680.5,25705.8,0,25694.075,25550,25800,70.45,104.95,175.4,0.6826476532040947
2026-01-14 09:21:00+05:30,2026-01-20,Tuesday,Wednesday,25705.3,25718.55,25703.3,25718.55,0,25711.425,25600,25850,83.55,87.3,170.85,0.6644905912449426
2026-01-14 09:22:00+05:30,2026-01-20,Tuesday,Wednesday,25719.65,25738.6,25719.65,25738.5,0,25729.1,25600,25850,74.2,97.9,172.10000000000002,0.6688924214216588
2026-01-14 09:23:00+05:30,2026-01-20,Tuesday,Wednesday,25739.8,25742.3,25707.75,25709.75,0,25724.9,25600,25850,83.0,84.75,167.75,0.6520919420483656
2026-01-14 09:24:00+05:30,2026-01-20,Tuesday,Wednesday,25710.95,25721.55,25704.65,25705.15,0,25710.574999999997,25600,25850,85.2,82.7,167.9,0.6530386815541854
2026-01-14 09:25:00+05:30,2026-01-20,Tuesday,Wednesday,25704.6,25724.9,25704.15,25717.85,0,25712.875,25600,25850,78.05,90.55,168.6,0.655702639242014
