segment,name,exchange,instrument_type,instrument_key,exchange_token,trading_symbol
NSE_INDEX,NIFTY LARGEMID250,NSE,INDEX,NSE_INDEX|NIFTY LARGEMID250,26073.0,NIFTY LARGEMID250
NSE_INDEX,Nifty Media,NSE,INDEX,NSE_INDEX|Nifty Media,26031.0,NIFTY MEDIA
BSE_INDEX,BSE POWER,BSE,INDEX,BSE_INDEX|POWER,22.0,POWER
NSE_INDEX,Nifty Housing,NSE,INDEX,NSE_INDEX|Nifty Housing,26119.0,NIFTY HOUSING
NSE_INDEX,Nifty50 Shariah,NSE,INDEX,NSE_INDEX|Nifty50 Shariah,26128.0,NIFTY50 SHARIAH
NSE_INDEX,Nifty CPSE,NSE,INDEX,NSE_INDEX|Nifty CPSE,26041.0,NIFTY CPSE
BSE_INDEX,BSE 500 Dvnd Leader50,BSE,INDEX,BSE_INDEX|DIVY50,91.0,DIVY50
NSE_INDEX,Nifty Midcap 50,NSE,INDEX,NSE_INDEX|Nifty Midcap 50,26014.0,NIFTY MIDCAP 50
NSE_INDEX,Nifty500 Shariah,NSE,INDEX,NSE_INDEX|Nifty500 Shariah,26130.0,NIFTY500 SHARIAH
BSE_INDEX,BSE SENSEX NEXT 50,BSE,INDEX,BSE_INDEX|SNXT50,48.0,SNXT50
NSE_INDEX,Nifty Auto,NSE,INDEX,NSE_INDEX|Nifty Auto,26029.0,NIFTY AUTO
NSE_INDEX,Nifty Shariah 25,NSE,INDEX,NSE_INDEX|Nifty Shariah 25,26126.0,NIFTY SHARIAH 25
BSE_INDEX,BSE 250 SMALLCAP,BSE,INDEX,BSE_INDEX|SML250,56.0,SML250
NSE_INDEX,Nifty Multi Mfg,NSE,INDEX,NSE_INDEX|Nifty Multi Mfg,26085.0,NIFTY MULTI MFG
NSE_INDEX,Nifty Infra,NSE,INDEX,NSE_INDEX|Nifty Infra,26019.0,NIFTY INFRA
BSE_INDEX,BSE SENSEX NEXT 30,BSE,INDEX,BSE_INDEX|SNXN30,68.0,SNXN30
NSE_INDEX,Nifty MidSml Hlth,NSE,INDEX,NSE_INDEX|Nifty MidSml Hlth,26084.0,NIFTY MIDSML HLTH
NSE_INDEX,Nifty MS Ind Cons,NSE,INDEX,NSE_INDEX|Nifty MS Ind Cons,26122.0,NIFTY MS IND CONS
BSE_INDEX,BSE 500 MOMENTUM 50,BSE,INDEX,BSE_INDEX|MOME50,93.0,MOME50
NSE_INDEX,Nifty Bank,NSE,INDEX,NSE_INDEX|Nifty Bank,26009.0,BANKNIFTY
BSE_INDEX,BSE CONSUMER DISCRE,BSE,INDEX,BSE_INDEX|CONDIS,38.0,CONDIS
NSE_INDEX,Nifty GS Compsite,NSE,INDEX,NSE_INDEX|Nifty GS Compsite,26055.0,NIFTY GS COMPSITE
NSE_INDEX,Nifty Mobility,NSE,INDEX,NSE_INDEX|Nifty Mobility,26106.0,NIFTY MOBILITY
NSE_INDEX,Nifty Div Opps 50,NSE,INDEX,NSE_INDEX|Nifty Div Opps 50,26034.0,NIFTY DIV OPPS 50
BSE_INDEX,BSE DIVERS FIN REV GR,BSE,INDEX,BSE_INDEX|DFRGRI,64.0,DFRGRI
NSE_INDEX,Nifty200 Value 30,NSE,INDEX,NSE_INDEX|Nifty200 Value 30,26112.0,NIFTY200 VALUE 30
BSE_INDEX,BSE AUTO,BSE,INDEX,BSE_INDEX|AUTO,13.0,AUTO
NSE_INDEX,Nifty Energy,NSE,INDEX,NSE_INDEX|Nifty Energy,26020.0,NIFTY ENERGY
BSE_INDEX,BSE CAP MKTS & INSU,BSE,INDEX,BSE_INDEX|CAPINS,74.0,CAPINS
BSE_INDEX,BSE ENERGY,BSE,INDEX,BSE_INDEX|ENERGY,39.0,ENERGY
